Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HC,AC,HF,AF,Path,Season,HP1,HP2,HP3,HP4,HP5,HP6,HP7,HP8,HP9,HP10,HP11,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11,HPG,HPD,HPF,HPM,APD,APG,APF,APM
20-Dec-03,Bolton,Arsenal,1,1,D,0,0,D,,G Poll,19,9,13,4,8,1,11,13,.data/EPL/2003-04/4688.json,3,1249,2040,2037,2209,2041,755,2208,1342,1445,1346,2031,1497,991,2165,2002,557,2162,1132,1835,1659,2409,2413,1,4,1,5,3,1,2,5
20-Dec-03,Charlton,Newcastle,0,0,D,0,0,D,,S Bennett,18,11,10,5,7,9,11,9,.data/EPL/2003-04/4602.json,3,1848,1898,2051,587,1850,1118,1371,1851,1518,111,1451,851,2127,89,2126,1740,1962,1597,239,1955,1230,1664,1,3,2,5,3,1,2,5
20-Dec-03,Everton,Leicester,3,2,H,1,1,D,,P Dowd,15,6,8,4,11,7,13,18,.data/EPL/2003-04/4441.json,3,1886,1757,146,25,1433,1175,181,1017,2460,1882,2066,453,1708,1003,544,1282,670,884,1382,462,660,714,1,4,2,4,3,1,3,4
20-Dec-03,Fulham,Chelsea,0,1,A,0,0,D,,M Riley,7,11,2,9,2,8,11,10,.data/EPL/2003-04/4641.json,3,2070,1306,723,2079,2075,2080,1254,2078,1830,1147,1598,1004,2148,1863,2454,1676,1353,1533,1458,2457,2456,800,1,4,1,5,4,1,2,4
21-Dec-03,Southampton,Portsmouth,3,0,H,1,0,H,,J Winter,12,11,7,7,8,5,7,21,.data/EPL/2003-04/4515.json,3,2133,1033,2329,1005,2335,1607,1246,1426,812,528,1623,1979,78,1980,1302,2385,2536,1095,576,2541,2542,2452,1,4,3,3,5,1,2,3
21-Dec-03,Tottenham,Man United,1,2,A,0,2,A,,R Styles,14,12,8,7,7,8,12,8,.data/EPL/2003-04/4784.json,3,880,1805,2566,776,566,1692,1627,1193,1748,1515,1771,1943,1111,1719,2516,321,407,1717,336,335,2117,921,1,5,2,3,5,1,1,4
22-Dec-03,Man City,Leeds,1,1,D,0,1,A,,G Barber,19,6,11,4,8,5,7,8,.data/EPL/2003-04/4722.json,3,2303,2138,1184,2295,2296,277,2125,271,1,1934,1135,2100,886,669,1412,1495,694,259,1404,1909,243,1045,1,4,2,4,5,1,2,3
26-Dec-03,Arsenal,Wolves,3,0,H,2,0,H,,P Dowd,15,5,10,1,14,3,15,17,.data/EPL/2003-04/4755.json,3,19,2002,557,1835,2162,1132,1659,1497,991,2409,2413,2581,34,1259,326,2572,2589,2590,1752,1650,1754,916,1,3,2,5,4,1,1,5
26-Dec-03,Birmingham,Man City,2,1,H,0,1,A,,U Rennie,5,9,3,5,9,3,18,14,.data/EPL/2003-04/4797.json,3,1131,524,972,706,1336,1114,961,1538,1384,1242,1337,2138,1184,2295,2296,277,2125,271,1,2303,1934,1135,1,3,2,5,4,1,2,4
26-Dec-03,Blackburn,Middlesbrough,2,2,D,1,1,D,,A Wiley,13,5,10,3,14,1,11,10,.data/EPL/2003-04/4650.json,3,2017,2433,1920,300,356,2018,59,2204,1420,1331,2434,937,2056,1072,2120,1361,2122,153,2528,1218,2044,2313,1,5,2,3,4,1,1,5
26-Dec-03,Charlton,Chelsea,4,2,H,2,1,H,,G Poll,8,15,4,8,8,6,14,10,.data/EPL/2003-04/4576.json,3,1848,1898,111,2051,587,1850,1118,1371,1518,1855,1451,1632,2148,800,2454,1676,1353,1533,1863,1413,1458,2456,1,3,3,4,4,1,2,4
26-Dec-03,Fulham,Southampton,2,0,H,1,0,H,,D Gallagher,14,6,7,2,11,5,13,12,.data/EPL/2003-04/4582.json,3,2070,1306,723,2246,2075,2466,2078,2005,1736,1830,1598,2133,1033,2329,1005,2335,812,2561,1607,1246,1426,528,1,4,1,5,4,1,2,4
26-Dec-03,Leeds,Aston Villa,0,0,D,0,0,D,,S Bennett,6,13,3,4,7,5,15,13,.data/EPL/2003-04/4479.json,3,259,2100,669,243,1412,1495,694,2260,1404,1909,1045,1308,338,1842,1042,2171,1751,1504,1843,2012,848,1505,1,5,2,3,3,1,3,4
26-Dec-03,Leicester,Newcastle,1,1,D,0,0,D,,C Foy,6,12,5,6,6,7,11,10,.data/EPL/2003-04/4705.json,3,1708,544,1282,27,670,884,1003,462,1427,660,714,851,2127,89,1890,1959,1597,239,2126,1230,1955,1664,1,4,3,3,4,1,2,4
26-Dec-03,Liverpool,Bolton,3,1,H,1,0,H,,J Winter,13,7,8,2,7,1,10,18,.data/EPL/2003-04/4803.json,3,2278,1423,1595,1575,1710,1359,2288,1921,2110,1711,1049,1249,2037,2041,755,2208,1342,1445,2040,1346,2209,2031,1,3,1,6,4,1,1,5
26-Dec-03,Man United,Everton,3,2,H,2,1,H,,M Dean,19,10,11,6,7,2,8,10,.data/EPL/2003-04/4754.json,3,1111,2516,1717,1718,2140,321,2118,2519,332,1719,2522,1886,2242,2064,1757,146,25,181,1881,1017,2063,1882,1,4,3,3,4,1,2,4
26-Dec-03,Portsmouth,Tottenham,2,0,H,0,0,D,,S Dunn,10,5,8,3,3,6,10,10,.data/EPL/2003-04/4468.json,3,2601,2452,1315,406,2536,1095,2553,576,2541,1205,78,1773,2566,776,1692,1627,1193,1748,880,1771,1355,1805,1,4,2,4,5,1,2,3
28-Dec-03,Aston Villa,Fulham,3,0,H,1,0,H,,B Knight,12,9,8,3,8,3,17,7,.data/EPL/2003-04/4611.json,3,1843,1504,1308,1309,1210,1042,2171,1751,2012,848,1505,2078,2005,2070,1147,1306,723,2246,2075,1736,1830,1598,1,4,2,4,4,1,1,5
28-Dec-03,Bolton,Leicester,2,2,D,1,1,D,,N Barry,15,7,8,6,3,7,16,17,.data/EPL/2003-04/4775.json,3,1249,2032,2209,2037,2041,755,1342,2040,2208,2031,2443,1282,365,1382,2104,670,884,1333,1427,660,27,2480,1,4,1,5,5,1,3,2
28-Dec-03,Chelsea,Portsmouth,3,0,H,0,0,D,,G Barber,15,7,8,3,7,1,8,14,.data/EPL/2003-04/4625.json,3,1866,583,1458,2054,1863,2454,1677,2456,2316,1353,800,2601,406,1315,2385,2550,2536,1095,1302,2553,2541,1205,1,4,2,4,4,1,2,4
28-Dec-03,Everton,Birmingham,1,0,H,0,0,D,,R Styles,16,5,6,2,5,2,7,13,.data/EPL/2003-04/4745.json,3,1886,1175,1757,146,877,2066,1881,181,1017,1884,1882,1131,524,2187,972,706,1114,1336,2193,1538,1242,961,1,4,2,4,3,1,2,5
28-Dec-03,Man City,Liverpool,2,2,D,1,0,H,,M Riley,16,11,8,9,7,7,6,14,.data/EPL/2003-04/4796.json,3,2511,2138,1184,2295,2125,271,277,2509,1,1934,1135,1423,1049,908,1595,2278,1710,1921,2110,2109,1575,1711,1,4,2,4,3,1,1,6
28-Dec-03,Middlesbrough,Man United,0,1,A,0,1,A,,M Messias,11,10,2,6,4,2,11,15,.data/EPL/2003-04/4541.json,3,2056,1361,929,35,2120,1429,153,2528,1218,1072,2044,2117,1719,1111,407,2516,1718,321,1943,336,335,921,1,4,1,5,4,1,1,5
28-Dec-03,Newcastle,Blackburn,0,1,A,0,0,D,,M Halsey,15,11,11,3,8,8,6,13,.data/EPL/2003-04/4551.json,3,851,239,2127,89,1890,2126,1597,2128,1955,1230,1664,2022,1920,2204,356,2018,1420,2024,2433,725,2434,2198,1,4,2,4,4,1,2,4
28-Dec-03,Tottenham,Charlton,0,1,A,0,0,D,,P Durkin,18,10,9,8,11,11,8,13,.data/EPL/2003-04/4762.json,3,1773,880,1805,1974,1692,1627,1193,1748,2006,1771,1355,1848,1898,1515,587,1850,1118,1371,1855,1344,1518,1451,1,5,2,3,3,1,3,4
28-Dec-03,Wolves,Leeds,3,1,H,1,1,D,,A D'Urso,11,9,4,4,6,10,11,14,.data/EPL/2003-04/4660.json,3,2581,34,326,2572,2589,1519,1752,1650,1754,2590,1277,669,1412,1495,1407,694,2260,259,1404,1706,1909,1045,1,4,2,4,5,1,2,3
29-Dec-03,Southampton,Arsenal,0,1,A,0,1,A,,S Dunn,6,17,3,9,2,3,14,10,.data/EPL/2003-04/4769.json,3,1768,2329,1391,1005,2335,1607,2558,1033,2563,1426,2129,991,19,2002,557,1835,2162,1132,1659,1497,2409,2413,1,3,3,4,3,1,2,5
06-Jan-04,Aston Villa,Portsmouth,2,1,H,1,0,H,,J Winter,18,11,13,4,9,6,17,14,.data/EPL/2003-04/4446.json,3,1843,1308,338,1309,1042,1751,848,1504,2171,2012,1505,2540,2452,1315,2385,2601,1302,2553,2541,1205,2542,708,1,3,3,4,5,1,2,3
07-Jan-04,Bolton,Man United,1,2,A,0,2,A,,D Gallagher,15,11,5,7,10,6,4,8,.data/EPL/2003-04/4742.json,3,1249,2032,2040,2037,2209,755,2208,1342,1346,2041,2031,335,1719,1111,2516,321,407,1943,1717,336,2117,921,1,4,1,5,5,1,1,4
07-Jan-04,Chelsea,Liverpool,0,1,A,0,1,A,,S Dunn,9,4,2,1,8,3,15,9,.data/EPL/2003-04/4713.json,3,1632,2148,2454,2316,1676,1353,1458,2457,2054,2456,800,2284,1049,1423,908,1595,1710,2109,1335,1921,2289,1571,1,4,2,4,3,1,2,5
07-Jan-04,Everton,Arsenal,1,1,D,0,1,A,,A Wiley,8,9,4,5,5,4,13,16,.data/EPL/2003-04/4702.json,3,2242,146,2064,877,2066,1175,1881,181,1017,1757,1882,1494,19,557,1502,2162,2002,1132,1835,1659,1497,2409,1,4,3,3,3,1,2,5
07-Jan-04,Man City,Charlton,1,1,D,1,0,H,,P Walton,18,9,10,4,2,2,9,11,.data/EPL/2003-04/4540.json,3,1184,2295,2513,741,277,2509,2125,1,2138,2511,1135,1848,1898,587,1118,1850,1371,1855,1344,1518,1451,1515,1,4,2,4,3,1,3,4
07-Jan-04,Middlesbrough,Fulham,2,1,H,1,0,H,,P Durkin,10,9,5,4,9,1,14,17,.data/EPL/2003-04/4474.json,3,2056,1947,2120,2122,1361,2123,1072,1952,929,35,153,2070,1306,2079,723,2080,2246,2075,1254,2078,2465,1598,1,4,1,5,3,1,1,6
07-Jan-04,Newcastle,Leeds,1,0,H,1,0,H,,P Dowd,13,9,6,5,5,3,14,17,.data/EPL/2003-04/4734.json,3,851,2127,89,2126,1890,1740,239,1597,1955,1230,1565,669,694,2260,2100,259,1404,1495,1698,1909,243,1045,1,4,1,5,5,1,1,4
07-Jan-04,Southampton,Leicester,0,0,D,0,0,D,,H Webb,14,9,14,8,4,5,12,15,.data/EPL/2003-04/4618.json,3,1768,1033,2329,1246,1005,2335,1607,2131,1426,2130,528,453,1436,544,714,1282,462,670,884,1333,1382,1708,1,4,2,4,4,1,3,3
07-Jan-04,Tottenham,Birmingham,4,1,H,3,0,H,,B Knight,11,9,7,3,1,6,15,6,.data/EPL/2003-04/4478.json,3,1355,1773,2566,776,566,1692,1627,1193,1775,1770,1805,524,972,706,1337,1336,2191,961,1242,1384,2181,1538,1,3,2,5,3,1,2,5
07-Jan-04,Wolves,Blackburn,2,2,D,0,1,A,,N Barry,10,9,5,5,2,7,13,20,.data/EPL/2003-04/4760.json,3,2581,916,34,1259,2572,1277,315,1519,1752,1754,2590,1920,2204,2018,2198,300,1420,725,1331,1037,2024,2434,1,4,1,5,5,1,2,3
10-Jan-04,Arsenal,Middlesbrough,4,1,H,2,0,H,,A D'Urso,20,5,13,4,7,3,12,21,.data/EPL/2003-04/4636.json,3,1494,1831,2165,557,1835,2162,1132,1659,1497,2409,1656,2056,2120,2122,1361,35,2123,929,153,1218,2314,1952,1,4,2,4,4,1,1,5
10-Jan-04,Birmingham,Southampton,2,1,H,1,1,D,,S Bennett,11,9,6,6,7,10,14,23,.data/EPL/2003-04/4658.json,3,2187,524,972,1336,2184,1538,1384,1242,1337,2181,961,2133,2329,1005,2335,1607,2558,1391,2131,1426,2130,528,1,4,2,4,4,1,2,4
10-Jan-04,Blackburn,Bolton,3,4,A,3,2,H,,S Dunn,8,16,3,10,4,7,15,13,.data/EPL/2003-04/4648.json,3,1920,2204,2023,1420,725,1331,2018,2024,2434,2198,59,2032,1346,2037,2209,1249,1342,1445,2040,2208,755,2031,1,4,3,3,5,1,1,4
10-Jan-04,Charlton,Wolves,2,0,H,1,0,H,,R Styles,10,7,4,4,6,5,6,12,.data/EPL/2003-04/4574.json,3,1848,1898,111,587,1850,1118,1371,1344,1518,1855,1451,745,34,2573,1259,326,315,2572,1519,1754,2590,2581,1,3,3,4,4,1,1,5
10-Jan-04,Fulham,Everton,2,1,H,1,0,H,,G Poll,14,11,10,5,5,7,19,9,.data/EPL/2003-04/4565.json,3,2070,723,2080,2246,2079,2075,1254,2078,2465,1306,1598,1175,1558,1757,146,25,2066,1881,181,2063,1402,1882,1,3,1,6,4,1,3,3
10-Jan-04,Leeds,Tottenham,0,1,A,0,0,D,,M Halsey,7,15,1,8,4,5,17,13,.data/EPL/2003-04/4496.json,3,669,1909,694,2260,259,569,1404,1495,2475,1706,1045,1805,776,566,2566,1692,1627,1193,1775,880,1771,1770,1,5,1,4,5,1,2,3
10-Jan-04,Liverpool,Aston Villa,1,0,H,1,0,H,,G Barber,12,8,4,2,3,6,14,15,.data/EPL/2003-04/4763.json,3,2289,1423,1049,908,1595,1710,1335,1455,1208,1921,2110,1308,338,1042,1309,2171,1751,1504,1843,2012,848,1505,1,3,3,4,3,1,3,4
10-Jan-04,Portsmouth,Man City,4,2,H,1,2,A,,M Messias,11,15,8,6,2,7,7,8,.data/EPL/2003-04/4697.json,3,1080,2540,1302,1315,1095,2553,576,2541,1205,2452,1247,1184,2295,741,2509,2125,2513,277,1,2303,2511,1135,1,4,2,4,4,1,2,4
11-Jan-04,Leicester,Chelsea,0,4,A,0,2,A,,U Rennie,6,11,3,6,6,2,17,7,.data/EPL/2003-04/4776.json,3,2491,453,1436,1003,544,714,1382,27,884,1333,1708,1145,1632,2454,1677,1676,1353,1533,1863,1413,1866,800,1,3,3,4,4,1,2,4
11-Jan-04,Man United,Newcastle,0,0,D,0,0,D,,P Durkin,12,7,7,3,2,3,13,11,.data/EPL/2003-04/4427.json,3,335,1111,1719,407,2516,1717,336,921,321,2519,2117,851,2127,89,1740,239,2126,1597,1955,1230,1565,1664,1,5,1,4,4,1,1,5
17-Jan-04,Bolton,Portsmouth,1,0,H,0,0,D,,P Dowd,13,8,6,3,2,2,9,13,.data/EPL/2003-04/4746.json,3,1249,2032,2446,2037,104,1342,1445,2040,2208,2209,2031,1247,1080,2541,1315,2540,1095,2553,576,1205,1302,2452,1,5,2,3,4,1,2,4
17-Jan-04,Everton,Charlton,0,1,A,0,1,A,,M Riley,17,7,7,4,10,5,6,14,.data/EPL/2003-04/4454.json,3,1886,1175,1402,1757,146,1433,2064,877,181,1017,1882,1848,1898,1515,111,587,1850,2058,1118,1371,1344,1451,1,4,3,3,3,1,3,4
17-Jan-04,Man City,Blackburn,1,1,D,0,0,D,,M Dean,10,6,7,3,4,2,7,13,.data/EPL/2003-04/4499.json,3,1215,1184,2296,2509,2125,252,2513,741,2303,2511,1135,1920,2024,2018,300,2017,2434,1420,725,2198,2023,59,1,4,2,4,4,1,2,4
17-Jan-04,Middlesbrough,Leicester,3,3,D,1,0,H,,B Knight,13,14,7,8,6,6,15,12,.data/EPL/2003-04/4506.json,3,2120,1361,2122,2123,929,1695,1218,2056,1072,937,1952,1436,1003,544,1201,1382,884,1333,1427,660,1708,27,1,4,1,5,4,1,3,3
17-Jan-04,Southampton,Leeds,2,1,H,2,0,H,,A Wiley,18,11,6,6,1,6,16,8,.data/EPL/2003-04/4751.json,3,1768,2133,2329,1391,2335,1607,2131,1426,2558,2130,528,2473,2100,1027,1698,1412,694,2260,1404,1495,1706,1045,1,4,2,4,4,1,1,5
17-Jan-04,Tottenham,Liverpool,2,1,H,1,0,H,,U Rennie,7,10,3,4,5,6,18,9,.data/EPL/2003-04/4537.json,3,566,2566,2568,776,1692,1193,1775,880,1771,918,1770,1423,1049,908,1595,1571,1921,1208,1710,1335,1455,2284,1,4,2,4,3,1,2,5
17-Jan-04,Wolves,Man United,1,0,H,0,0,D,,A D'Urso,11,15,6,6,4,12,13,5,.data/EPL/2003-04/4518.json,3,916,34,1259,326,2572,1277,2589,315,1752,1754,1519,1943,1719,407,2516,1718,1717,336,921,2117,1111,2522,1,4,2,4,4,1,2,4
18-Jan-04,Aston Villa,Arsenal,0,2,A,0,1,A,,M Halsey,12,13,5,9,3,2,17,21,.data/EPL/2003-04/4679.json,3,1840,1210,2175,2171,1751,1504,1843,2012,1308,848,1505,1494,1831,2165,557,1835,1502,2162,1132,1659,1497,2409,1,4,2,4,4,1,2,4
18-Jan-04,Chelsea,Birmingham,0,0,D,0,0,D,,J Winter,16,2,9,1,6,2,13,8,.data/EPL/2003-04/4451.json,3,1866,1632,2454,1676,1533,1863,1413,2148,1458,2054,800,2187,972,524,706,1336,2184,2193,1384,1242,2181,961,1,4,2,4,4,1,2,4
19-Jan-04,Newcastle,Fulham,3,1,H,2,0,H,,N Barry,10,13,9,6,7,4,10,8,.data/EPL/2003-04/4630.json,3,851,2127,2126,1740,239,1597,1955,1230,1565,89,1664,2070,1306,2079,723,2080,2463,2246,2075,2085,2078,1736,1,4,1,5,3,1,1,6
21-Jan-04,Wolves,Liverpool,1,1,D,0,1,A,,B Knight,9,14,6,10,7,5,14,16,.data/EPL/2003-04/4675.json,3,34,1259,326,2572,2589,1277,315,1519,1752,1754,916,915,2284,1049,908,1595,1575,1921,1208,1710,2109,2072,1,4,2,4,3,1,2,5
31-Jan-04,Birmingham,Newcastle,1,1,D,0,1,A,,R Styles,15,4,5,2,2,3,13,11,.data/EPL/2003-04/4567.json,3,2187,972,524,706,1114,2184,1538,1242,1336,1384,2181,851,2127,89,2093,2126,1740,239,1955,1230,1565,1664,1,4,2,4,4,1,1,5
31-Jan-04,Charlton,Bolton,1,2,A,1,1,D,,A D'Urso,14,14,7,10,5,6,9,9,.data/EPL/2003-04/4538.json,3,1848,1898,1851,587,1118,1850,1371,1344,111,1855,1451,2032,2048,1249,104,1342,1445,2040,1346,2208,2031,2443,1,3,3,4,5,1,2,3
31-Jan-04,Fulham,Tottenham,2,1,H,1,1,D,,M Messias,16,4,10,4,10,13,6,12,.data/EPL/2003-04/4597.json,3,2070,96,2080,723,2246,2075,2085,2078,1830,2463,1306,2568,776,2566,1692,1627,1193,1775,1771,918,1770,1727,1,4,1,5,5,1,2,3
31-Jan-04,Leeds,Middlesbrough,0,3,A,0,0,D,,G Poll,8,15,4,6,7,6,14,6,.data/EPL/2003-04/4725.json,3,1706,669,1412,2260,694,2100,259,1404,1495,1698,1045,1072,2120,1361,1695,2319,153,2056,2528,1218,2313,2314,1,5,1,4,4,1,1,5
31-Jan-04,Leicester,Aston Villa,0,5,A,0,0,D,,J Winter,13,14,9,10,5,9,12,7,.data/EPL/2003-04/4699.json,3,1436,1003,544,1282,329,884,1333,660,1427,1201,1382,1504,1308,338,1597,1840,1309,1042,1751,2012,1505,1629,1,5,2,3,3,1,3,4
31-Jan-04,Liverpool,Everton,0,0,D,0,0,D,,S Bennett,21,6,9,4,8,3,7,11,.data/EPL/2003-04/4663.json,3,915,1335,1049,1595,2284,1575,2109,1208,2072,1710,2287,1886,2064,1757,146,1433,2066,877,1881,1017,1884,1882,1,4,2,4,4,1,3,3
31-Jan-04,Man United,Southampton,3,2,H,2,1,H,,G Barber,12,17,7,11,1,10,9,11,.data/EPL/2003-04/4435.json,3,1211,1719,407,2516,2522,1718,1717,336,2117,921,1598,2133,1033,1768,70,2329,1391,2558,2131,1426,2130,528,1,4,3,3,4,1,2,4
31-Jan-04,Portsmouth,Wolves,0,0,D,0,0,D,,H Webb,17,8,10,4,6,6,9,6,.data/EPL/2003-04/4563.json,3,2555,1080,2452,1315,2540,576,2541,1205,2542,2547,1247,2581,916,1455,1259,326,2572,315,1752,1754,2589,1284,1,4,2,4,4,1,2,4
01-Feb-04,Arsenal,Man City,2,1,H,1,0,H,,A Wiley,11,9,9,8,5,4,13,13,.data/EPL/2003-04/4477.json,3,1494,991,19,1831,2165,2002,557,1835,1659,1497,2409,2511,1184,2296,252,741,2509,2125,2138,2303,1934,1135,1,3,2,5,4,1,1,5
01-Feb-04,Blackburn,Chelsea,2,3,A,1,2,A,,D Gallagher,13,17,7,9,5,6,9,14,.data/EPL/2003-04/4780.json,3,1920,356,2018,300,2023,59,1420,1253,725,2024,2434,2456,2148,2454,1676,1353,1413,1458,2054,1300,1518,800,1,4,2,4,4,1,2,4
07-Feb-04,Aston Villa,Leeds,2,0,H,1,0,H,,U Rennie,15,7,7,4,3,10,15,16,.data/EPL/2003-04/4461.json,3,1840,1308,1597,1309,1751,2169,1843,2012,848,338,1505,2100,1706,1590,1698,1412,1495,694,259,1589,1404,1909,1,2,3,5,4,1,2,4
07-Feb-04,Bolton,Liverpool,2,2,D,1,0,H,,A Wiley,12,11,6,6,3,5,15,15,.data/EPL/2003-04/4608.json,3,1249,2032,1346,2037,104,1342,1445,2040,2048,2208,2031,915,2284,1049,1595,1575,1208,1710,1335,2287,2109,2072,1,5,2,3,4,1,2,4
07-Feb-04,Everton,Man United,3,4,A,0,3,A,,N Barry,12,19,8,9,7,7,11,14,.data/EPL/2003-04/4594.json,3,1886,1402,1757,146,1433,877,1175,1881,181,1017,720,1943,1211,1719,407,2516,321,1717,336,335,2117,1598,1,5,2,3,4,1,2,4
07-Feb-04,Middlesbrough,Blackburn,0,1,A,0,1,A,,R Styles,15,6,7,2,8,3,6,12,.data/EPL/2003-04/4781.json,3,2120,2528,929,1695,2319,153,2056,1218,1072,1948,2314,1920,2204,356,2018,300,1420,2436,1253,2434,1037,2023,1,5,1,4,5,1,2,3
07-Feb-04,Newcastle,Leicester,3,1,H,2,0,H,,S Dunn,15,7,9,3,9,1,17,11,.data/EPL/2003-04/4707.json,3,851,2325,2127,1962,239,1955,1230,1565,1740,89,1664,544,1201,884,1282,1014,27,1333,1628,660,453,1382,1,4,2,4,4,1,3,3
07-Feb-04,Southampton,Fulham,0,0,D,0,0,D,,A D'Urso,11,11,6,8,17,3,12,18,.data/EPL/2003-04/4632.json,3,2133,1033,1623,1768,2329,1391,2335,1426,70,2130,528,2078,2070,96,1306,2246,2075,2080,723,1830,2463,2402,1,4,3,3,4,1,1,5
07-Feb-04,Tottenham,Portsmouth,4,3,H,2,1,H,,P Walton,15,16,13,9,6,5,16,13,.data/EPL/2003-04/4607.json,3,2566,776,1526,1692,1627,1193,1748,1775,1771,918,1773,1080,576,2547,1092,1315,2553,1427,2541,2542,2452,1247,1,4,2,4,4,1,2,4
07-Feb-04,Wolves,Arsenal,1,3,A,1,1,D,,P Dowd,12,10,5,7,6,4,18,18,.data/EPL/2003-04/4437.json,3,2581,916,1259,2572,2592,2589,315,1455,1752,1754,1284,1494,991,1831,2165,1834,2002,557,1132,1835,1659,2409,1,4,3,3,3,1,2,5
08-Feb-04,Chelsea,Charlton,1,0,H,1,0,H,,S Bennett,16,5,6,0,4,3,9,17,.data/EPL/2003-04/4701.json,3,2053,2148,1863,1677,2233,583,1458,2054,2456,1413,800,1848,1898,111,587,1850,1371,1851,1344,1855,1451,1515,1,5,2,3,3,1,2,5
08-Feb-04,Man City,Birmingham,0,0,D,0,0,D,,P Durkin,21,7,12,2,11,5,11,10,.data/EPL/2003-04/4481.json,3,2511,252,2509,2125,1215,2513,277,2510,2138,1184,1934,2187,524,972,706,1336,1114,2184,2193,1242,2181,1538,1,4,2,4,4,1,2,4
10-Feb-04,Arsenal,Southampton,2,0,H,1,0,H,,N Barry,11,10,6,6,5,9,13,12,.data/EPL/2003-04/4800.json,3,1494,19,1831,2165,2002,557,1132,1835,1659,2409,2415,1033,1768,70,2133,2329,1391,2335,2130,2560,1426,2557,1,3,2,5,5,1,2,3
10-Feb-04,Leeds,Wolves,4,1,H,2,1,H,,M Dean,20,11,8,5,4,3,15,14,.data/EPL/2003-04/4545.json,3,2100,1698,1412,694,1590,259,1589,1404,1495,1706,1909,2581,916,1259,2572,2592,315,1455,1752,1754,2589,1284,1,4,2,4,4,1,3,3
10-Feb-04,Leicester,Bolton,1,1,D,1,1,D,,U Rennie,15,9,15,9,8,7,16,13,.data/EPL/2003-04/4672.json,3,2491,1436,544,1201,1282,1014,27,1382,462,1628,660,1249,2032,2037,104,755,1342,1445,2040,1346,2048,2208,1,4,3,3,5,1,2,3
11-Feb-04,Birmingham,Everton,3,0,H,2,0,H,,M Halsey,15,5,11,3,8,11,10,14,.data/EPL/2003-04/4681.json,3,2187,1114,1131,972,1336,2184,1242,1384,2181,1538,706,1886,877,1757,146,181,2064,2066,1175,1881,1017,1882,1,4,2,4,4,1,3,3
11-Feb-04,Blackburn,Newcastle,1,1,D,0,0,D,,M Messias,17,14,7,7,8,6,12,10,.data/EPL/2003-04/4521.json,3,1920,356,2018,300,2023,1420,2436,2024,725,1253,2434,2126,1869,851,2127,89,1955,1890,1740,1230,1664,239,1,4,2,4,4,1,2,4
11-Feb-04,Charlton,Tottenham,2,4,A,0,2,A,,G Barber,18,12,14,10,10,4,13,14,.data/EPL/2003-04/4575.json,3,1848,1898,1515,587,2058,1371,1851,1344,1464,1850,1854,776,1526,1692,1627,1193,1748,1775,880,918,1770,1773,1,4,2,4,5,1,2,3
11-Feb-04,Fulham,Aston Villa,1,2,A,1,2,A,,B Knight,13,10,6,3,6,5,16,17,.data/EPL/2003-04/4469.json,3,2070,1306,2080,2075,723,2078,96,1830,2246,2463,2402,1840,1504,1597,1309,1210,1751,1843,2012,1308,848,1505,1,4,1,5,4,1,2,4
11-Feb-04,Liverpool,Man City,2,1,H,1,0,H,,M Riley,12,6,7,3,6,3,7,8,.data/EPL/2003-04/4580.json,3,915,2284,1595,1575,1208,1710,1335,2287,2109,2072,1049,2511,1215,2138,1184,252,2509,2510,2125,277,271,1934,1,4,2,4,4,1,2,4
11-Feb-04,Man United,Middlesbrough,2,3,A,1,2,A,,P Durkin,23,12,13,8,10,5,13,17,.data/EPL/2003-04/4793.json,3,1719,2516,332,1718,1717,1211,2519,336,1598,335,2117,1072,2120,2528,2122,929,1695,153,2056,1218,1952,2314,1,3,2,5,4,1,,6
11-Feb-04,Portsmouth,Chelsea,0,2,A,0,1,A,,G Poll,11,10,5,4,9,10,8,13,.data/EPL/2003-04/4799.json,3,1080,1092,1315,1205,1095,2540,2553,2541,2555,2547,1247,2456,1863,2454,1677,1353,583,1458,2054,1866,800,1518,1,4,2,4,4,1,2,4
21-Feb-04,Bolton,Man City,1,3,A,1,2,A,,S Dunn,16,17,11,13,12,11,9,10,.data/EPL/2003-04/4643.json,3,1249,1346,714,2037,104,755,1342,2040,2048,2208,2278,1215,2138,1184,252,741,277,2509,2125,271,2513,1934,1,5,2,3,3,1,2,5
21-Feb-04,Charlton,Blackburn,3,2,H,2,0,H,,U Rennie,11,18,7,12,8,12,7,6,.data/EPL/2003-04/4531.json,3,1848,1898,1344,587,1850,2058,1118,1371,111,1464,1451,1920,300,2018,2204,1420,1253,2434,356,1037,2023,2436,1,4,3,3,5,1,2,3
21-Feb-04,Chelsea,Arsenal,1,2,A,1,2,A,,M Riley,10,9,4,7,11,5,16,18,.data/EPL/2003-04/4741.json,3,2456,1866,2454,1677,1353,583,1458,2054,800,2316,1518,991,1831,2165,1834,2002,557,1132,1835,1659,2409,2413,1,4,2,4,3,1,2,5
21-Feb-04,Man United,Leeds,1,1,D,0,0,D,,M Halsey,24,7,7,3,12,7,12,17,.data/EPL/2003-04/4682.json,3,2516,1718,321,1717,2519,336,921,335,2117,332,1719,2250,1589,1590,1698,1412,694,2100,259,1495,1407,1706,1,4,1,5,4,1,1,5
